Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Acre;AC;733559;532279;201280;Abobrinha;108;11;97;53;2;51;44;2;42;96;5;92;85;4;81;0,04;0,08;2;0,01;0,03;5,5;0,12;0,32;2,75;0,15;0,46;3,11;0,04;0,15;4,2
Acre;AC;733559;532279;201280;Acelga;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;0,53;3,38;6,41;21,12;86,13;4,08;2,65;11,32;4,27;6,44;33,19;5,15;4,42;32,93;7,46
Acre;AC;733559;532279;201280;Agrião;34;4;30;36;7;29;36;7;29;199;64;135;199;64;135;X;X;X;X;X;X;X;X;X;0,06;0,42;7,18;X;X;X
Acre;AC;733559;532279;201280;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Alecrim;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,17;27,05;158,18;0,0;0,02;7,78;X;X;X;0,01;0,06;7,63;X;X;X
Acre;AC;733559;532279;201280;Alface;526;54;472;886;271;615;870;269;601;6677;1824;4853;6579;1811;4768;19,96;163,36;8,19;15,94;207,97;13,05;15,56;147,85;9,5;25,87;545,57;21,09;14,96;152,35;10,18
Acre;AC;733559;532279;201280;Alho-porró;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;0,15;4,71;31,64;0,01;0,07;14,61
Acre;AC;733559;532279;201280;Almeirão;7;2;5;32;X;X;32;X;X;324;X;X;324;X;X;X;X;X;X;X;X;X;X;X;0,01;0,03;4,18;0,0;0,02;6
Acre;AC;733559;532279;201280;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;0,09;45;0,0;0,09;30;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Batata-baroa (mandioquinha);10;3;7;21;12;9;19;12;8;29;13;17;27;12;15;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Batata-doce;140;20;120;86;6;80;53;4;49;142;10;132;88;6;82;3,72;12,26;3,29;3,59;8,45;2,35;2,98;8,34;2,8;139,58;613,15;4,39;50,43;159,55;3,16
Acre;AC;733559;532279;201280;Berinjela;29;4;25;7;0;7;7;0;6;13;1;12;12;1;11;6,8;20,35;2,99;4,66;14,26;3,06;3,8;16,62;4,37;17,14;111,93;6,53;2,91;10,31;3,54
Acre;AC;733559;532279;201280;Bertalha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Beterraba;6;2;4;0;X;X;0;X;X;1;X;X;1;X;X;66,2;186,8;2,82;38,01;115,63;3,04;24,2;53,33;2,2;160,54;523,92;3,26;95,85;410,78;4,29
Acre;AC;733559;532279;201280;Boldo;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Bucha (esponja vegetal);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Camomila;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Caruru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Cará;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;0,07;0,24;3,64;X;X;X
Acre;AC;733559;532279;201280;Cebolinha;889;72;817;932;140;792;910;139;771;3838;675;3163;3755;670;3086;93,39;942,07;10,09;123,46;3826,62;31;132,56;1272,61;9,6;126,69;1389,47;10,97;105,64;1450,84;13,73
Acre;AC;733559;532279;201280;Cenoura;2;1;1;X;X;X;X;X;X;X;X;X;X;X;X;163,34;452,91;2,77;98,34;338,68;3,44;40,0;89,8;2,25;308,35;1004,47;3,26;328,16;1519,81;4,63
Acre;AC;733559;532279;201280;Chicória;442;39;403;173;37;136;170;36;134;1092;281;812;1075;280;795;226,33;393,24;1,74;251,46;1102,3;4,38;254,57;394,91;1,55;289,99;545,01;1,88;238,34;511,34;2,15
Acre;AC;733559;532279;201280;Chuchu;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;8,92;25,83;2,9;4,62;15,31;3,31;0,2;0,88;4,4;3,94;15,33;3,89;1,78;6,57;3,69
Acre;AC;733559;532279;201280;Coentro;694;60;634;516;39;477;504;38;466;2903;359;2544;2845;358;2487;10,72;204,14;19,05;9,79;450,95;46,06;6,25;130,7;20,91;4,5;114,06;25,35;3,27;94,18;28,84
Acre;AC;733559;532279;201280;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;0,01;0,24;24;X;X;X;0,0;0,05;53,74;X;X;X
Acre;AC;733559;532279;201280;Couve;771;65;706;844;91;753;826;91;736;3389;471;2918;3325;468;2856;191,65;871,91;4,55;204,55;1352,86;6,61;208,42;959,59;4,6;210,51;1171,72;5,57;188,46;1073,74;5,7
Acre;AC;733559;532279;201280;Couve-flor;6;-;6;3;-;3;2;-;2;6;-;6;5;-;5;0,46;2,94;6,38;7,62;53,13;6,97;0,06;0,29;4,54;0,42;1,14;2,73;0,42;1,44;3,43
Acre;AC;733559;532279;201280;Ervilha (vagem);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,04;1,15;25,5;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Espinafre;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,0;0,48;120,2;0,86;14,63;17,07;X;X;X;0,0;0,01;4,67;X;X;X
Acre;AC;733559;532279;201280;Gengibre;12;2;10;0;X;X;0;X;X;1;X;X;1;X;X;1,84;16,21;8,8;4,84;110,74;22,89;0,38;4,14;10,96;2,74;68,14;24,87;1,08;16,43;15,2
Acre;AC;733559;532279;201280;Hortelã;48;3;45;76;36;39;75;36;39;330;143;186;327;141;186;10,6;68,33;6,45;5,94;64,88;10,92;7,32;52,26;7,14;5,68;40,16;7,06;4,49;37,98;8,47
Acre;AC;733559;532279;201280;Inhame;90;4;86;56;2;54;31;1;30;104;4;101;59;2;57;0,28;0,94;3,37;51,18;310,94;6,08;0,1;0,71;7,12;1,36;9,98;7,32;0,44;3,3;7,5
Acre;AC;733559;532279;201280;Jiló;37;3;34;16;0;15;16;0;15;62;1;61;61;1;60;0,05;0,19;3,63;0,24;0,93;3,81;0,12;0,41;3,49;0,69;3,13;4,55;0,8;9,56;12
Acre;AC;733559;532279;201280;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Manjericão;11;3;8;2;1;1;2;1;1;19;15;4;19;15;3;1,1;8,92;8,13;0,51;4,96;9,71;0,29;2,19;7,51;0,28;1,22;4,4;0,17;0,81;4,91
Acre;AC;733559;532279;201280;Maxixe;396;30;366;143;7;135;138;7;131;682;42;640;658;41;616;68,25;209,8;3,07;68,44;437,03;6,39;35,4;220,31;6,22;56,32;446,17;7,92;26,86;314,95;11,72
Acre;AC;733559;532279;201280;Milho verde (espiga);128;17;111;664;12;652;618;12;606;888;13;875;844;13;831;39,37;94,54;2,4;12,62;15,07;1,19;18,47;21,21;1,15;103,49;84,43;0,82;22,02;17,24;0,78
Acre;AC;733559;532279;201280;Morango;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;21,73;237,48;10,93;0,77;6,1;7,92;X;X;X
Acre;AC;733559;532279;201280;Mostarda (semente);1;1;-;X;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Nabo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Orégano;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Pepino;355;27;328;864;134;730;836;132;704;1849;256;1593;1790;251;1539;297,28;803,05;2,7;205,65;623,39;3,03;721,79;2007,37;2,78;831,85;2528,07;3,04;611,27;2460,08;4,02
Acre;AC;733559;532279;201280;Pimenta;667;52;615;367;46;321;353;46;308;2469;460;2009;2381;454;1927;180,81;1136,97;6,29;213,19;2041,45;9,58;146,81;1126,21;7,67;144,6;1783,76;12,34;89,1;1218,41;13,67
Acre;AC;733559;532279;201280;Pimentão;17;2;15;6;X;X;5;X;X;25;X;X;22;X;X;4,06;160,14;39,48;11,68;182,97;15,67;0,37;2,72;7,33;15,09;190,1;12,6;15,22;208,87;13,72
Acre;AC;733559;532279;201280;Quiabo;172;16;156;48;5;43;47;5;42;151;27;124;148;27;121;136,01;300,67;2,21;56,11;126,8;2,26;38,65;84,82;2,19;37,64;99,62;2,65;8,73;32,75;3,75
Acre;AC;733559;532279;201280;Rabanete;4;-;4;0;-;0;0;-;0;1;-;1;1;-;1;X;X;X;0,0;0,01;6,7;X;X;X;0,02;0,23;10,09;0,02;0,13;8,26
Acre;AC;733559;532279;201280;Repolho;7;-;7;4;-;4;4;-;4;18;-;18;18;-;18;65,62;251,12;3,83;109,92;510,59;4,64;104,33;455,96;4,37;251,06;1480,46;5,9;233,03;1961,39;8,42
Acre;AC;733559;532279;201280;Rúcula;160;18;142;77;16;62;77;16;61;419;96;323;414;95;320;20,21;116,71;5,78;15,74;200,71;12,75;15,21;110,07;7,24;13,62;108,18;7,95;6,59;62,44;9,47
Acre;AC;733559;532279;201280;Salsa;74;4;70;23;5;19;23;5;19;127;27;100;127;27;100;1,71;23,7;13,88;1,19;55,1;46,26;0,91;12,77;14,1;2,63;40,17;15,26;0,95;18,6;19,54
Acre;AC;733559;532279;201280;Taioba;5;-;5;0;-;0;0;-;0;1;-;1;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Acre;AC;733559;532279;201280;Tomate (estaqueado);58;8;50;46;8;37;45;8;37;205;25;181;203;25;178;109,33;457,34;4,18;424,81;2205,51;5,19;603,62;2141,43;3,55;914,99;4666,17;5,1;1081,43;6149,84;5,69
Acre;AC;733559;532279;201280;Vagem (feijão vagem);7;2;5;5;X;X;5;X;X;32;X;X;31;X;X;0,04;0,16;3,72;0,42;0,14;0,33;0,05;0,15;3,03;0,33;0,77;2,33;X;X;X
Alagoas;AL;3120494;2297860;822634;Abobrinha;106;14;92;22;2;20;14;1;13;22;2;20;14;1;13;X;X;X;X;X;X;8,0;16,4;2,05;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Acelga;3;1;2;1;X;X;1;X;X;4;X;X;4;X;X;X;X;X;11,0;27,5;2,5;17,0;42,5;2,5;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Agrião;10;1;9;1;X;X;0;X;X;2;X;X;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Alecrim;11;1;10;1;X;X;1;X;X;6;X;X;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Alface;700;90;610;4329;1286;3043;4081;1266;2815;6920;2045;4876;6360;2005;4355;X;X;X;2203,65;18681,64;8,48;440,5;3670,83;8,33;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Alho-porró;6;-;6;0;-;0;0;-;0;5;-;5;5;-;5;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Almeirão;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Batata-baroa (mandioquinha);8;1;7;3;X;X;3;X;X;5;X;X;4;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Batata-doce;5070;713;4357;5837;1240;4598;5058;1126;3932;6341;1352;4988;5362;1216;4146;X;X;X;7266,55;13033,39;1,79;1802,9;3278,69;1,82;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Berinjela;62;15;47;70;10;60;70;10;60;81;10;71;80;10;71;X;X;X;161,6;389,16;2,41;43,3;122,68;2,83;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Bertalha;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Beterraba;19;4;15;6;5;1;6;5;1;8;4;4;8;4;4;X;X;X;475,4;1180,62;2,48;118,5;256,75;2,17;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Boldo;4;2;2;0;X;X;-;X;X;0;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Bucha (esponja vegetal);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Camomila;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Caruru;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Cará;18;-;18;15;-;15;12;-;12;23;-;23;19;-;19;X;X;X;740,0;1934,91;2,61;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Cebolinha;640;73;567;931;272;659;908;266;642;1992;576;1416;1939;562;1377;X;X;X;144,3;284,98;1,97;4,0;4,53;1,13;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Cenoura;34;3;31;29;4;24;28;4;24;88;21;68;88;20;67;X;X;X;2426,58;6216,42;2,56;1545,5;4107,12;2,66;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Chicória;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Chuchu;24;4;20;13;1;12;10;1;9;11;3;8;9;3;6;X;X;X;2502,32;5299,74;2,12;486,9;973,8;2;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Coentro;1119;157;962;10773;2749;8024;10431;2677;7754;24738;7147;17590;23773;7044;16729;X;X;X;2299,15;23725,98;10,32;345,55;3225,13;9,33;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Cogumelos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Couve;447;64;383;1166;175;991;1148;175;974;1785;226;1559;1762;223;1539;X;X;X;105,1;166,68;1,59;124,0;128,13;1,03;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Couve-flor;30;2;28;22;X;X;22;X;X;83;X;X;82;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Ervilha (vagem);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;0,2;0,39;1,97;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Espinafre;14;2;12;11;X;X;11;X;X;33;X;X;33;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Gengibre;7;1;6;11;X;X;11;X;X;46;X;46;46;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Hortelã;30;5;25;13;12;1;13;12;1;38;30;9;35;30;6;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Inhame;1490;198;1292;3095;1303;1792;2751;1269;1482;11483;5030;6453;10306;4908;5398;X;X;X;5047,2;19159,36;3,8;1308,8;3946,89;3,02;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Jiló;10;1;9;6;X;X;6;X;X;14;X;X;14;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Manjericão;22;5;17;3;2;1;3;2;1;10;3;8;10;3;7;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Maxixe;214;39;175;542;5;537;526;4;522;764;9;755;724;8;717;X;X;X;124,35;81,1;0,65;30,3;41,41;1,37;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Milho verde (espiga);1618;273;1345;2828;932;1896;2559;890;1669;2710;718;1992;2326;648;1678;X;X;X;327,1;139,65;0,43;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Morango;4;-;4;0;-;0;-;-;-;0;-;0;-;-;-;X;X;X;2284,4;20659,19;9,04;496,5;8417,5;16,95;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Mostarda (semente);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Nabo;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Orégano;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Pepino;27;5;22;4;1;3;4;1;3;13;2;11;13;2;11;X;X;X;330,55;874,15;2,64;78,2;198,76;2,54;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Pimenta;278;56;222;398;132;266;395;132;263;2308;835;1473;2279;828;1450;X;X;X;67,95;173,81;2,56;13,0;33,8;2,6;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Pimentão;406;67;339;933;283;650;917;280;637;1169;310;858;1146;306;840;X;X;X;4212,5;11051,79;2,62;898,75;2246,88;2,5;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Quiabo;305;48;257;1088;22;1066;834;21;813;1433;46;1387;1040;44;996;X;X;X;303,65;487,89;1,61;58,1;110,92;1,91;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Rabanete;9;1;8;18;X;X;18;X;X;22;X;X;22;X;X;X;X;X;20,0;33,0;1,65;30,0;30,0;1;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Repolho;29;8;21;245;223;21;244;223;21;446;397;49;446;397;48;X;X;X;3461,45;8213,91;2,37;618,8;1588,25;2,57;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Rúcula;27;5;22;107;76;31;107;76;31;246;176;70;246;176;70;X;X;X;3,0;10,1;3,37;8,0;17,33;2,17;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Salsa;47;8;39;61;24;38;61;24;38;194;110;84;194;110;84;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Taioba;1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Tomate (estaqueado);296;51;245;408;150;258;392;147;245;578;136;442;547;131;416;X;X;X;13325,7;45874,38;3,44;3036,3;8271,96;2,72;X;X;X;X;X;X
Alagoas;AL;3120494;2297860;822634;Vagem (feijão vagem);4;1;3;3001;X;X;2951;X;X;2402;X;X;2362;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Abobrinha;261;31;230;384;106;278;353;106;247;583;151;432;536;150;386;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Acelga;3;2;1;5;X;X;5;X;X;28;X;X;28;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Agrião;54;1;53;17;X;X;16;X;X;103;X;X;96;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Alcachofra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Alecrim;6;1;5;0;X;X;0;X;X;0;X;X;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Alface;784;125;659;1777;1009;768;1713;969;743;8326;4684;3642;7953;4454;3499;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Alho-porró;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Almeirão;14;1;13;2;X;X;2;X;X;12;X;X;11;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Aspargo;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Batata-baroa (mandioquinha);71;3;68;6;1;5;2;1;1;13;2;11;5;2;3;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Batata-doce;2356;126;2230;1941;125;1816;1640;112;1529;3452;278;3174;2775;239;2536;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Berinjela;141;23;118;357;82;275;356;82;274;482;124;358;480;124;355;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Bertalha;2;-;2;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Beterraba;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Boldo;96;3;93;1;0;1;0;0;0;8;0;8;1;0;1;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Bucha (esponja vegetal);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Camomila;3;-;3;0;-;0;0;-;0;0;-;0;0;-;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Caruru;131;8;123;12;0;11;9;0;9;35;1;34;26;0;26;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Cará;3114;158;2956;1077;48;1030;725;28;697;1568;60;1508;830;27;803;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Cebolinha;6398;548;5850;2617;410;2207;2443;373;2070;10887;1718;9169;9970;1548;8422;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Cenoura;3;1;2;0;X;X;0;X;X;0;X;X;0;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Chicória;4606;322;4284;767;97;670;695;90;606;3859;407;3452;3474;372;3102;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Chuchu;4;-;4;1;-;1;1;-;1;2;-;2;2;-;2;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Coentro;2932;348;2584;1929;442;1487;1831;419;1411;10756;2069;8687;10283;1979;8304;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Cogumelos;111;-;111;2;-;2;-;-;-;9;-;9;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Couve;1465;184;1281;2760;407;2353;2669;395;2274;5799;869;4931;5411;835;4576;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Couve-flor;57;9;48;13;0;13;13;0;12;73;2;71;69;2;67;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Ervilha (vagem);1;-;1;X;-;X;X;-;X;X;-;X;X;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Espinafre;14;5;9;2;0;2;2;0;2;26;6;20;26;6;20;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Gengibre;85;13;72;23;2;21;21;2;19;234;13;221;220;13;207;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Hortelã;126;20;106;20;11;9;20;11;8;118;68;50;113;68;46;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Inhame;113;3;110;25;0;25;11;0;11;45;0;45;18;0;18;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Jiló;32;6;26;24;2;22;23;2;21;69;5;64;67;5;62;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Lentilha;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
Amazonas;AM;3483985;2755490;728495;Manjericão;115;10;105;94;83;11;89;78;11;255;220;35;243;210;33;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
