Nome do Estado;Sigla do Estado;População Total do Estado em 2010;População Urbana do Estado em 2010;População Rural do Estado em 2010;Produto;Quantidade Estabelecimentos;Quantidade de Estabelecimentos não ligados à Agricultura Familiar;Quantidade de Estabelecimentos ligados à Agricultura Familiar;Quantidade Produzida (t);Quantidade Produzida (t) não ligada à Agricultura Familiar;Quantidade Produzida (t) ligada à Agricultura Familiar;Quantidade Vendida (t);Quantidade Vendida não ligada à Agricultura Familiar (t);Quantidade Vendida ligada à Agricultura Familiar (t);Valor da Produção Total (em mil R$);Valor da Produção Total não ligada à Agricultura Familiar (em mil R$);Valor da Produção Total ligada à Agricultura Familiar (em mil R$);Valor da Venda Total (em mil R$);Valor da Venda Total não ligada à Agricultura Familiar (em mil R$);Valor da Venda Total ligada à Agricultura Familiar (em mil R$);Quantidade Vendida em 2018 (t);Valor Comercialiazado em 2018 (em mil R$);Preço Médio Praticado em 2018 (R$);Quantidade Vendida em 2019 (t);Valor Comercializado em 2019 (em mil R$);Preço Médio Praticado em 2019 (R$);Quantidade Vendida em 2020 (t);Valor Comercializado em 2020 (em mil R$);Preço Médio Praticado em 2020 (R$);Quantidade Vendida em 2021 (t);Valor Comercializado em 2021 (em mil R$);Preço Médio Praticado (R$) em 2021 (R$);Quantidade Vendida em 2022 (t);Valor Comercializado em 2022 (em mil R$);Preço Médio Praticado (R$) em 2022 (R$)
Goiás;GO;6003788;5420714;583074;Milho verde (espiga);1593;471;1122;92145;80238;11907;80272;69616;10656;50209;41116;9092;42736;35065;7672;14626,18;18858,68;1,29;13561,97;15403,63;1,14;13254,55;18727,71;1,41;12704,21;19161,96;1,51;17704,92;39762,75;2,25
Goiás;GO;6003788;5420714;583074;Morango;40;11;29;193;64;129;192;63;129;2038;474;1564;2031;468;1564;621,02;7768,77;12,51;650,18;10015,59;15,4;548,69;8820,88;16,08;584,88;9686,62;16,56;657,62;11080,25;16,85
Goiás;GO;6003788;5420714;583074;Mostarda (semente);284;54;230;95;41;54;92;39;52;509;215;295;489;203;286;14,21;54,41;3,83;9,33;39,21;4,2;6,4;32,23;5,03;8,29;34,26;4,13;5,18;32,27;6,22
Goiás;GO;6003788;5420714;583074;Nabo;39;15;24;24;18;6;23;18;6;54;34;20;53;34;19;29,51;228,71;7,75;18,04;48,79;2,7;30,04;60,21;2;15,26;30,53;2;3,96;7,92;2
Goiás;GO;6003788;5420714;583074;Orégano;18;4;14;46;0;45;46;0;45;21;2;19;21;2;18;4,44;231,21;52,07;4,15;117,36;28,28;0,5;10,0;20;X;X;X;X;X;X
Goiás;GO;6003788;5420714;583074;Pepino;617;122;495;3724;890;2834;3667;877;2790;4171;950;3221;4094;934;3160;18378,99;36963,88;2,01;19733,89;44348,88;2,25;17921,6;36511,06;2,04;18594,78;47879,55;2,57;18149,13;56935,63;3,14
Goiás;GO;6003788;5420714;583074;Pimenta;1268;235;1033;2296;914;1382;2256;912;1344;8337;2516;5821;7992;2497;5495;1091,46;11321,52;10,37;1293,57;12784,99;9,88;1446,28;15758,64;10,9;1287,82;14533,75;11,29;1203,89;19281,11;16,02
Goiás;GO;6003788;5420714;583074;Pimentão;390;85;305;7686;857;6829;7624;842;6782;11930;1263;10666;11849;1240;10609;4546,58;13894,3;3,06;4799,92;17496,16;3,65;4532,35;14506,8;3,2;4290,38;15343,21;3,58;3838,46;14610,26;3,81
Goiás;GO;6003788;5420714;583074;Quiabo;1457;257;1200;6683;1050;5634;6590;1043;5547;14364;2471;11893;14131;2459;11672;7845,63;20414,8;2,6;6513,58;20056,08;3,08;5709,17;17598,14;3,08;6177,37;25080,85;4,06;6056,36;28784,85;4,75
Goiás;GO;6003788;5420714;583074;Rabanete;265;68;197;194;71;123;176;61;115;502;162;340;465;144;321;33,88;90,64;2,68;22,81;217,06;9,52;36,9;99,47;2,7;23,26;62,64;2,69;21,34;57,56;2,7
