Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Beterraba;Ceará;159;33;126;220;36;185;Toneladas;216;35;181;317;37;281;306;35;270;CE;8452381;6346557;2105824;27.364.971;63.969.093,94;2,34
Boldo;Ceará;39;15;24;3;0;2;Toneladas;3;0;2;5;1;5;5;1;4;CE;8452381;6346557;2105824;X;X;X
Camomila;Ceará;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;CE;8452381;6346557;2105824;X;X;X
Cará;Ceará;4;-;4;0;-;0;Toneladas;0;-;0;1;-;1;1;-;1;CE;8452381;6346557;2105824;8.060;86.980,00;10,79
Caruru;Ceará;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;CE;8452381;6346557;2105824;X;X;X
Cebolinha;Ceará;4.604;912;3.692;19.140;4.219;14.921;Toneladas;18.341;4.178;14.164;35.319;7.611;27.707;34.323;7.509;26.813;CE;8452381;6346557;2105824;2.948.524;19.026.431,93;6,45
Cenoura;Ceará;287;77;210;966;207;759;Toneladas;963;206;757;881;177;704;871;174;696;CE;8452381;6346557;2105824;104.756.873;275.953.828,24;2,63
Chicória;Ceará;7;2;5;2;X;X;Toneladas;2;X;X;4;X;X;4;X;X;CE;8452381;6346557;2105824;900;14.700,00;16,33
Chuchu;Ceará;379;94;285;9.280;4.214;5.067;Toneladas;9.209;4.175;5.035;4.250;2.146;2.104;4.209;2.122;2.087;CE;8452381;6346557;2105824;26.752.490;32.715.385,21;1,22
Coentro;Ceará;4.996;991;4.005;23.134;5.001;18.133;Toneladas;22.364;4.957;17.407;42.341;9.998;32.343;41.360;9.890;31.470;CE;8452381;6346557;2105824;2.708.650;17.200.974,39;6,35
Cogumelos;Ceará;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;CE;8452381;6346557;2105824;X;X;X
Couve;Ceará;347;72;275;737;123;614;Toneladas;720;118;602;1.446;383;1.063;1.412;373;1.039;CE;8452381;6346557;2105824;X;X;X
Couve-flor;Ceará;196;25;171;875;63;812;Toneladas;863;63;801;985;67;918;954;66;888;CE;8452381;6346557;2105824;X;X;X
Couve-flor;Ceará;196;25;171;875;63;812;Toneladas;863;63;801;985;67;918;954;66;888;CE;8452381;6346557;2105824;1.717.265;7.139.351,88;4,16
Espinafre;Ceará;85;24;61;199;37;161;Toneladas;197;36;161;400;84;316;396;82;314;CE;8452381;6346557;2105824;60.320;691.492,42;11,46
Gengibre;Ceará;13;4;9;0;0;0;Toneladas;0;-;0;1;0;1;1;-;1;CE;8452381;6346557;2105824;49.991;899.962,56;18,00
Hortelã;Ceará;152;29;123;182;14;168;Toneladas;181;14;167;449;38;411;446;37;409;CE;8452381;6346557;2105824;17.550;357.206,00;20,35
Inhame;Ceará;110;38;72;53;9;43;Toneladas;28;4;24;157;28;130;85;13;72;CE;8452381;6346557;2105824;1.822.100;7.887.586,11;4,33
Jiló;Ceará;92;23;69;439;119;320;Toneladas;419;118;301;328;102;226;313;102;211;CE;8452381;6346557;2105824;1.412.446;3.017.327,08;2,14
Lentilha;Ceará;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;CE;8452381;6346557;2105824;X;X;X
Manjericão;Ceará;70;19;51;78;3;75;Toneladas;78;3;75;193;13;180;191;12;180;CE;8452381;6346557;2105824;X;X;X
Maxixe;Ceará;1.654;464;1.190;786;97;690;Toneladas;733;82;650;706;114;591;615;89;526;CE;8452381;6346557;2105824;1.257.780;6.444.152,87;5,12
Morango;Ceará;8;2;6;4;X;X;Toneladas;4;X;X;54;X;X;54;X;X;CE;8452381;6346557;2105824;X;X;X
Morango;Ceará;8;2;6;4;X;X;Toneladas;4;X;X;54;X;X;54;X;X;CE;8452381;6346557;2105824;13.685.018;374.227.856,06;27,35
Nabo;Ceará;3;1;2;3;X;X;Toneladas;3;X;X;2;X;X;2;X;X;CE;8452381;6346557;2105824;6.100;43.266,00;7,09
Orégano;Ceará;2;1;1;X;X;X;Toneladas;X;X;X;X;X;X;X;X;X;CE;8452381;6346557;2105824;X;X;X
Pepino;Ceará;858;225;633;4.909;1.375;3.534;Toneladas;4.652;1.368;3.283;2.945;778;2.167;2.803;768;2.035;CE;8452381;6346557;2105824;5.910.715;6.945.252,14;1,18
Pimenta;Ceará;1.547;291;1.256;3.119;557;2.562;Toneladas;3.041;524;2.517;4.555;798;3.757;4.393;732;3.660;CE;8452381;6346557;2105824;17.266.405;141.506.589,93;8,20
Pimenta;Ceará;1.547;291;1.256;3.119;557;2.562;Toneladas;3.041;524;2.517;4.555;798;3.757;4.393;732;3.660;CE;8452381;6346557;2105824;77.947.786;571.767.566,97;7,34
Quiabo;Ceará;711;198;513;809;131;678;Toneladas;598;126;472;973;139;834;690;126;564;CE;8452381;6346557;2105824;1.606.855;8.624.062,91;5,37
Rabanete;Ceará;18;5;13;10;1;9;Toneladas;10;1;9;28;1;27;28;1;27;CE;8452381;6346557;2105824;30.210;197.854,05;6,55
Repolho;Ceará;125;36;89;765;178;587;Toneladas;757;178;579;619;144;475;611;143;468;CE;8452381;6346557;2105824;56.992.699;121.514.850,00;2,13
Rúcula;Ceará;86;29;57;147;21;126;Toneladas;143;20;122;360;92;268;345;83;262;CE;8452381;6346557;2105824;1.135.060;6.632.432,80;5,84
Salsa;Ceará;120;28;92;241;38;203;Toneladas;216;37;179;459;77;382;421;75;347;CE;8452381;6346557;2105824;1.350;21.532,93;15,95
Salsa;Ceará;120;28;92;241;38;203;Toneladas;216;37;179;459;77;382;421;75;347;CE;8452381;6346557;2105824;276;2.005,67;7,27
Taioba;Ceará;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;CE;8452381;6346557;2105824;X;X;X
Abobrinha;Pernambuco;267;26;241;717;74;643;Toneladas;685;73;612;637;83;554;607;81;526;PE;8796448;7052210;1744238;3.022.936;6.840.365,01;2,26
Acelga;Pernambuco;101;14;87;110;49;61;Toneladas;107;48;59;217;62;155;207;58;149;PE;8796448;7052210;1744238;7.264.536;21.817.982,20;3,00
Agrião;Pernambuco;34;9;25;17;5;12;Toneladas;17;5;12;62;31;32;62;31;31;PE;8796448;7052210;1744238;2.249;25.788,01;11,47
Alcachofra;Pernambuco;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;PE;8796448;7052210;1744238;X;X;X
Alecrim;Pernambuco;47;9;38;26;4;22;Toneladas;26;4;22;105;15;90;105;15;90;PE;8796448;7052210;1744238;X;X;X
Alface;Pernambuco;3.453;461;2.992;12.829;3.715;9.114;Toneladas;12.356;3.604;8.753;22.831;7.100;15.730;21.743;6.712;15.031;PE;8796448;7052210;1744238;13.542.300;44.229.498,38;3,27
Almeirão;Pernambuco;9;3;6;4;3;2;Toneladas;4;3;2;24;20;4;24;20;3;PE;8796448;7052210;1744238;X;X;X
Aspargo;Pernambuco;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;PE;8796448;7052210;1744238;X;X;X
Batata-doce;Pernambuco;8.988;1.319;7.669;13.122;2.583;10.538;Toneladas;11.868;2.353;9.515;16.320;3.349;12.971;14.555;3.054;11.501;PE;8796448;7052210;1744238;148.829.255;361.474.923,12;2,43
Berinjela;Pernambuco;226;31;195;798;190;608;Toneladas;794;189;605;672;168;504;664;167;497;PE;8796448;7052210;1744238;3.453.951;7.890.225,22;2,28
Bertalha;Pernambuco;6;1;5;2;X;X;Toneladas;1;X;X;5;X;X;4;X;X;PE;8796448;7052210;1744238;X;X;X
Beterraba;Pernambuco;176;19;157;264;53;210;Toneladas;259;52;207;528;88;440;518;88;431;PE;8796448;7052210;1744238;10.501.044;22.828.484,14;2,17
Boldo;Pernambuco;5;2;3;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;PE;8796448;7052210;1744238;725.802;12.051.106,00;16,60
Camomila;Pernambuco;1;1;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;PE;8796448;7052210;1744238;X;X;X
Cará;Pernambuco;1.183;126;1.057;11.901;2.143;9.757;Toneladas;9.982;2.112;7.870;16.733;2.711;14.022;13.901;2.663;11.238;PE;8796448;7052210;1744238;127.215.033;336.970.517,96;2,65
Caruru;Pernambuco;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;PE;8796448;7052210;1744238;X;X;X
Cebolinha;Pernambuco;2.623;397;2.226;3.321;841;2.480;Toneladas;3.234;832;2.402;5.743;1.202;4.541;5.476;1.166;4.310;PE;8796448;7052210;1744238;2.011.895;5.665.310,30;2,82
Cenoura;Pernambuco;434;49;385;905;69;835;Toneladas;875;66;809;1.515;108;1.407;1.457;101;1.356;PE;8796448;7052210;1744238;105.410.391;295.649.428,56;2,80
Chicória;Pernambuco;8;3;5;26;4;23;Toneladas;26;4;23;26;13;13;26;13;13;PE;8796448;7052210;1744238;4.259;21.176,74;4,97
Chuchu;Pernambuco;897;79;818;25.639;4.026;21.612;Toneladas;25.554;4.024;21.530;13.177;1.969;11.208;13.116;1.966;11.150;PE;8796448;7052210;1744238;48.917.164;62.155.243,97;1,27
Coentro;Pernambuco;5.128;759;4.369;14.617;2.550;12.067;Toneladas;14.171;2.439;11.732;25.800;3.653;22.146;24.733;3.448;21.285;PE;8796448;7052210;1744238;33.031.806;124.347.676,21;3,76
Cogumelos;Pernambuco;2;2;-;X;X;-;Toneladas;X;X;-;X;X;-;X;X;-;PE;8796448;7052210;1744238;X;X;X
Couve;Pernambuco;1.193;166;1.027;2.865;619;2.246;Toneladas;2.820;599;2.220;4.694;1.139;3.554;4.501;1.018;3.483;PE;8796448;7052210;1744238;4.127.933;22.235.204,11;5,39
Couve-flor;Pernambuco;339;35;304;742;83;659;Toneladas;735;83;652;1.401;72;1.329;1.373;69;1.304;PE;8796448;7052210;1744238;3.078.778;17.532.562,14;5,69
Couve-flor;Pernambuco;339;35;304;742;83;659;Toneladas;735;83;652;1.401;72;1.329;1.373;69;1.304;PE;8796448;7052210;1744238;X;X;X
Espinafre;Pernambuco;118;12;106;55;9;45;Toneladas;53;9;44;152;32;120;142;32;111;PE;8796448;7052210;1744238;49.761;145.878,85;2,93
Gengibre;Pernambuco;8;1;7;2;X;X;Toneladas;1;X;X;5;X;X;5;X;X;PE;8796448;7052210;1744238;564.879;4.368.734,50;7,73
Hortelã;Pernambuco;146;23;123;126;45;80;Toneladas;124;45;79;403;183;220;399;183;216;PE;8796448;7052210;1744238;22.464;250.565,61;11,15
Inhame;Pernambuco;2.781;513;2.268;7.796;1.840;5.956;Toneladas;7.329;1.701;5.627;18.391;4.653;13.738;17.068;4.215;12.853;PE;8796448;7052210;1744238;9.941.053;48.462.941,67;4,88
Jiló;Pernambuco;128;18;110;500;135;365;Toneladas;499;135;364;476;132;345;474;132;343;PE;8796448;7052210;1744238;738.014;2.575.871,61;3,49
Lentilha;Pernambuco;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;PE;8796448;7052210;1744238;X;X;X
Manjericão;Pernambuco;90;14;76;56;9;47;Toneladas;56;9;47;145;38;106;144;38;106;PE;8796448;7052210;1744238;X;X;X
Maxixe;Pernambuco;1.001;128;873;1.700;144;1.557;Toneladas;1.674;139;1.536;1.410;143;1.267;1.367;136;1.231;PE;8796448;7052210;1744238;3.946.809;16.036.175,76;4,06
Morango;Pernambuco;12;4;8;16;10;6;Toneladas;16;10;6;125;52;73;124;51;73;PE;8796448;7052210;1744238;X;X;X
Morango;Pernambuco;12;4;8;16;10;6;Toneladas;16;10;6;125;52;73;124;51;73;PE;8796448;7052210;1744238;25.973.909;628.457.826,28;24,20
Nabo;Pernambuco;20;4;16;11;8;3;Toneladas;11;8;3;32;21;10;31;21;10;PE;8796448;7052210;1744238;11.670;45.818,90;3,93
Orégano;Pernambuco;4;1;3;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;PE;8796448;7052210;1744238;X;X;X
Pepino;Pernambuco;496;64;432;4.247;496;3.751;Toneladas;4.160;463;3.698;2.580;494;2.086;2.512;467;2.044;PE;8796448;7052210;1744238;20.704.788;31.393.600,38;1,52
Pimenta;Pernambuco;446;75;371;364;54;310;Toneladas;354;49;305;1.718;1.101;617;1.585;986;599;PE;8796448;7052210;1744238;1.212.303;9.105.230,00;7,51
Pimenta;Pernambuco;446;75;371;364;54;310;Toneladas;354;49;305;1.718;1.101;617;1.585;986;599;PE;8796448;7052210;1744238;64.543.605;143.280.233,89;2,22
Quiabo;Pernambuco;1.691;215;1.476;3.888;516;3.372;Toneladas;3.700;509;3.191;4.405;541;3.864;4.276;524;3.752;PE;8796448;7052210;1744238;3.582.076;16.363.263,34;4,57
Rabanete;Pernambuco;64;7;57;21;3;18;Toneladas;21;3;18;59;13;45;58;13;45;PE;8796448;7052210;1744238;98;757,34;7,73
Repolho;Pernambuco;227;28;199;3.694;742;2.951;Toneladas;3.593;715;2.878;3.506;479;3.026;3.407;460;2.947;PE;8796448;7052210;1744238;45.707.461;112.377.512,53;2,46
Rúcula;Pernambuco;250;40;210;272;64;208;Toneladas;262;63;198;554;237;317;543;235;307;PE;8796448;7052210;1744238;X;X;X
Salsa;Pernambuco;224;30;194;174;57;118;Toneladas;169;56;112;458;139;319;439;138;301;PE;8796448;7052210;1744238;83.848;1.740.727,41;20,76
Salsa;Pernambuco;224;30;194;174;57;118;Toneladas;169;56;112;458;139;319;439;138;301;PE;8796448;7052210;1744238;17.956;176.156,31;9,81
Taioba;Pernambuco;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;PE;8796448;7052210;1744238;X;X;X
Abobrinha;Acre;108;11;97;53;2;51;Toneladas;44;2;42;96;5;92;85;4;81;AC;733559;532279;201280;345;1.038,40;3,01
Acelga;Acre;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AC;733559;532279;201280;35.823;172.234,80;4,81
Agrião;Acre;34;4;30;36;7;29;Toneladas;36;7;29;199;64;135;199;64;135;AC;733559;532279;201280;58;416,44;7,18
Alcachofra;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Alecrim;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;181;27.124,56;149,86
Alface;Acre;526;54;472;886;271;615;Toneladas;870;269;601;6.677;1.824;4.853;6.579;1.811;4.768;AC;733559;532279;201280;98.436;1.285.819,73;13,06
Almeirão;Acre;7;2;5;32;X;X;Toneladas;32;X;X;324;X;X;324;X;X;AC;733559;532279;201280;11;51,44;4,68
Aspargo;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;5;180,00;36,00
Batata-doce;Acre;140;20;120;86;6;80;Toneladas;53;4;49;142;10;132;88;6;82;AC;733559;532279;201280;204.899;821.220,55;4,01
Berinjela;Acre;29;4;25;7;0;7;Toneladas;7;0;6;13;1;12;12;1;11;AC;733559;532279;201280;35.608;174.383,13;4,90
Bertalha;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Beterraba;Acre;6;2;4;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;AC;733559;532279;201280;392.797;1.327.501,70;3,38
Boldo;Acre;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AC;733559;532279;201280;X;X;X
Camomila;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Cará;Acre;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AC;733559;532279;201280;66;240,46;3,64
Caruru;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Cebolinha;Acre;889;72;817;932;140;792;Toneladas;910;139;771;3.838;675;3.163;3.755;670;3.086;AC;733559;532279;201280;614.144;9.523.086,86;15,51
Cenoura;Acre;2;1;1;X;X;X;Toneladas;X;X;X;X;X;X;X;X;X;AC;733559;532279;201280;955.189;3.533.522,50;3,70
Chicória;Acre;442;39;403;173;37;136;Toneladas;170;36;134;1.092;281;812;1.075;280;795;AC;733559;532279;201280;1.357.307;3.232.723,28;2,38
Chuchu;Acre;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;AC;733559;532279;201280;19.662;64.921,44;3,30
Coentro;Acre;694;60;634;516;39;477;Toneladas;504;38;466;2.903;359;2.544;2.845;358;2.487;AC;733559;532279;201280;35.648;1.035.146,03;29,04
Cogumelos;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;11;293,74;26,70
Couve;Acre;771;65;706;844;91;753;Toneladas;826;91;736;3.389;471;2.918;3.325;468;2.856;AC;733559;532279;201280;1.062.041;5.834.515,92;5,49
Couve-flor;Acre;6;-;6;3;-;3;Toneladas;2;-;2;6;-;6;5;-;5;AC;733559;532279;201280;X;X;X
Couve-flor;Acre;6;-;6;3;-;3;Toneladas;2;-;2;6;-;6;5;-;5;AC;733559;532279;201280;8.988;58.948,34;6,56
Espinafre;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;863;15.115,74;17,52
Gengibre;Acre;12;2;10;0;X;X;Toneladas;0;X;X;1;X;X;1;X;X;AC;733559;532279;201280;10.879;215.662,54;19,82
Hortelã;Acre;48;3;45;76;36;39;Toneladas;75;36;39;330;143;186;327;141;186;AC;733559;532279;201280;35.013;272.785,04;7,79
Inhame;Acre;90;4;86;56;2;54;Toneladas;31;1;30;104;4;101;59;2;57;AC;733559;532279;201280;53.364;325.878,57;6,11
Jiló;Acre;37;3;34;16;0;15;Toneladas;16;0;15;62;1;61;61;1;60;AC;733559;532279;201280;2.106;15.480,29;7,35
Lentilha;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Manjericão;Acre;11;3;8;2;1;1;Toneladas;2;1;1;19;15;4;19;15;3;AC;733559;532279;201280;2.390;18.347,05;7,68
Maxixe;Acre;396;30;366;143;7;135;Toneladas;138;7;131;682;42;640;658;41;616;AC;733559;532279;201280;266.404;1.743.100,30;6,54
Morango;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Morango;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;22.503;243.585,49;10,82
Nabo;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Orégano;Acre;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;AC;733559;532279;201280;X;X;X
Pepino;Acre;355;27;328;864;134;730;Toneladas;836;132;704;1.849;256;1.593;1.790;251;1.539;AC;733559;532279;201280;2.814.472;8.994.070,97;3,20
Pimenta;Acre;667;52;615;367;46;321;Toneladas;353;46;308;2.469;460;2.009;2.381;454;1.927;AC;733559;532279;201280;795.394;7.695.515,97;9,68
Pimenta;Acre;667;52;615;367;46;321;Toneladas;353;46;308;2.469;460;2.009;2.381;454;1.927;AC;733559;532279;201280;46.822;748.886,77;15,99
Quiabo;Acre;172;16;156;48;5;43;Toneladas;47;5;42;151;27;124;148;27;121;AC;733559;532279;201280;277.531;646.193,35;2,33
Rabanete;Acre;4;-;4;0;-;0;Toneladas;0;-;0;1;-;1;1;-;1;AC;733559;532279;201280;40;370,89;9,27
Repolho;Acre;7;-;7;4;-;4;Toneladas;4;-;4;18;-;18;18;-;18;AC;733559;532279;201280;789.466;4.878.257,50;6,18
Rúcula;Acre;160;18;142;77;16;62;Toneladas;77;16;61;419;96;323;414;95;320;AC;733559;532279;201280;73.310;616.582,13;8,41
Salsa;Acre;74;4;70;23;5;19;Toneladas;23;5;19;127;27;100;127;27;100;AC;733559;532279;201280;7.710;156.460,95;20,29
Salsa;Acre;74;4;70;23;5;19;Toneladas;23;5;19;127;27;100;127;27;100;AC;733559;532279;201280;X;X;X
Taioba;Acre;5;-;5;0;-;0;Toneladas;0;-;0;1;-;1;0;-;0;AC;733559;532279;201280;X;X;X
Abobrinha;Espírito Santo;1.492;187;1.305;6.927;688;6.239;Toneladas;6.760;678;6.082;3.582;358;3.224;3.473;343;3.129;ES;3514952;2931472;583480;16.969.983;20.479.430,95;1,21
Acelga;Espírito Santo;249;18;231;1.401;107;1.294;Toneladas;1.362;107;1.255;475;37;438;462;37;425;ES;3514952;2931472;583480;10;30,00;3,00
Agrião;Espírito Santo;251;27;224;548;85;463;Toneladas;545;85;460;1.270;209;1.062;1.262;208;1.054;ES;3514952;2931472;583480;417.065;1.269.738,64;3,04
Alcachofra;Espírito Santo;8;2;6;0;X;X;Toneladas;0;X;X;3;X;X;3;X;X;ES;3514952;2931472;583480;245;6.535,14;26,67
Alecrim;Espírito Santo;125;15;110;29;1;28;Toneladas;29;1;28;99;7;92;99;7;92;ES;3514952;2931472;583480;10.666;159.745,13;14,98
Alface;Espírito Santo;2.666;446;2.220;13.657;1.479;12.178;Toneladas;13.120;1.426;11.694;17.574;1.863;15.710;16.805;1.770;15.035;ES;3514952;2931472;583480;10.146.896;22.750.333,51;2,24
Almeirão;Espírito Santo;544;95;449;326;36;290;Toneladas;314;35;279;562;73;489;531;66;465;ES;3514952;2931472;583480;204.481;251.241,38;1,23
Aspargo;Espírito Santo;2;-;2;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;ES;3514952;2931472;583480;3.335;122.906,80;36,85
Batata-doce;Espírito Santo;1.144;109;1.035;4.468;203;4.264;Toneladas;4.410;196;4.214;3.558;163;3.394;3.494;154;3.340;ES;3514952;2931472;583480;37.933.355;77.287.372,33;2,04
Berinjela;Espírito Santo;544;50;494;3.404;465;2.939;Toneladas;3.314;464;2.850;2.167;274;1.893;2.114;272;1.841;ES;3514952;2931472;583480;7.873.542;12.379.878,36;1,57
Bertalha;Espírito Santo;16;-;16;6;-;6;Toneladas;6;-;6;16;-;16;16;-;16;ES;3514952;2931472;583480;X;X;X
Beterraba;Espírito Santo;1.091;114;977;4.935;430;4.505;Toneladas;4.885;428;4.458;3.363;325;3.038;3.330;321;3.009;ES;3514952;2931472;583480;17.907.090;36.054.795,32;2,01
Boldo;Espírito Santo;30;7;23;1;0;1;Toneladas;1;0;1;4;0;4;4;0;4;ES;3514952;2931472;583480;X;X;X
Camomila;Espírito Santo;21;2;19;2;X;X;Toneladas;2;X;X;32;X;X;32;X;X;ES;3514952;2931472;583480;280;1.999,20;7,14
Cará;Espírito Santo;510;17;493;3.581;130;3.451;Toneladas;3.545;127;3.418;2.895;130;2.764;2.872;127;2.744;ES;3514952;2931472;583480;5.030.711;10.534.886,11;2,09
Caruru;Espírito Santo;1;-;1;X;-;X;Toneladas;X;-;X;X;-;X;X;-;X;ES;3514952;2931472;583480;X;X;X
Cebolinha;Espírito Santo;2.251;423;1.828;2.837;305;2.533;Toneladas;2.696;295;2.401;6.393;845;5.548;5.985;800;5.185;ES;3514952;2931472;583480;1.804.764;6.508.651,52;3,61
Cenoura;Espírito Santo;1.076;129;947;4.814;412;4.402;Toneladas;4.710;407;4.303;3.423;264;3.159;3.309;257;3.052;ES;3514952;2931472;583480;85.646.377;184.813.991,33;2,16
Chicória;Espírito Santo;182;18;164;189;33;156;Toneladas;181;32;150;244;26;219;236;24;212;ES;3514952;2931472;583480;41.467;92.217,75;2,22
Chuchu;Espírito Santo;1.273;181;1.092;49.972;8.375;41.596;Toneladas;49.459;8.336;41.123;14.174;2.107;12.067;14.039;2.092;11.947;ES;3514952;2931472;583480;55.372.116;49.849.411,29;0,90
Coentro;Espírito Santo;1.147;138;1.009;2.057;183;1.874;Toneladas;2.025;182;1.843;4.465;469;3.996;4.367;465;3.902;ES;3514952;2931472;583480;1.492.554;5.776.697,82;3,87
Cogumelos;Espírito Santo;15;3;12;240;89;151;Toneladas;220;89;131;3.063;1.305;1.758;2.876;1.305;1.571;ES;3514952;2931472;583480;7.363;347.943,39;47,26
Couve;Espírito Santo;2.951;536;2.415;4.189;506;3.683;Toneladas;4.052;488;3.563;7.180;1.094;6.087;6.849;1.041;5.808;ES;3514952;2931472;583480;2.390.567;7.362.468,56;3,08
Couve-flor;Espírito Santo;873;61;812;5.287;700;4.587;Toneladas;5.041;699;4.342;4.266;512;3.753;4.112;509;3.603;ES;3514952;2931472;583480;X;X;X
Couve-flor;Espírito Santo;873;61;812;5.287;700;4.587;Toneladas;5.041;699;4.342;4.266;512;3.753;4.112;509;3.603;ES;3514952;2931472;583480;15.820.760;24.874.469,74;1,57
Espinafre;Espírito Santo;268;27;241;273;98;175;Toneladas;266;96;170;560;183;376;548;182;366;ES;3514952;2931472;583480;96.712;255.566,79;2,64
Gengibre;Espírito Santo;1.279;69;1.210;17.708;1.382;16.325;Toneladas;17.462;1.336;16.125;28.770;2.102;26.668;28.350;2.034;26.317;ES;3514952;2931472;583480;3.686.674;10.487.241,24;2,84
Hortelã;Espírito Santo;208;22;186;216;16;200;Toneladas;211;16;195;551;60;492;533;60;473;ES;3514952;2931472;583480;119.598;706.872,53;5,91
Inhame;Espírito Santo;3.828;450;3.378;46.003;8.370;37.633;Toneladas;45.300;8.312;36.988;48.403;9.339;39.064;47.682;9.289;38.393;ES;3514952;2931472;583480;43.068.247;98.485.639,00;2,29
Jiló;Espírito Santo;1.390;209;1.181;3.622;218;3.404;Toneladas;3.563;212;3.351;3.589;233;3.356;3.514;223;3.291;ES;3514952;2931472;583480;14.191.753;30.265.959,92;2,13
Lentilha;Espírito Santo;-;-;-;-;-;-;Toneladas;-;-;-;-;-;-;-;-;-;ES;3514952;2931472;583480;X;X;X
Manjericão;Espírito Santo;124;14;110;45;5;40;Toneladas;44;5;39;157;25;132;153;25;129;ES;3514952;2931472;583480;35.355;281.614,88;7,97
Maxixe;Espírito Santo;134;14;120;200;14;185;Toneladas;197;14;182;197;12;185;192;12;180;ES;3514952;2931472;583480;1.519.317;3.284.324,71;2,16
Morango;Espírito Santo;1.262;69;1.193;7.772;847;6.925;Toneladas;7.741;846;6.894;32.077;3.511;28.567;31.925;3.509;28.416;ES;3514952;2931472;583480;14.886.133;27.017.915,92;1,81
Morango;Espírito Santo;1.262;69;1.193;7.772;847;6.925;Toneladas;7.741;846;6.894;32.077;3.511;28.567;31.925;3.509;28.416;ES;3514952;2931472;583480;3.489.594;31.773.026,44;9,11
Nabo;Espírito Santo;35;4;31;34;1;33;Toneladas;33;1;32;32;4;28;32;4;28;ES;3514952;2931472;583480;50.503;62.250,99;1,23
Orégano;Espírito Santo;22;3;19;5;0;4;Toneladas;4;0;4;33;2;30;33;2;30;ES;3514952;2931472;583480;X;X;X
Pepino;Espírito Santo;1.139;124;1.015;10.988;1.747;9.241;Toneladas;10.915;1.737;9.178;5.841;855;4.986;5.806;850;4.956;ES;3514952;2931472;583480;29.375.228;43.522.816,48;1,48
Pimenta;Espírito Santo;273;51;222;249;53;197;Toneladas;243;50;193;1.614;415;1.199;1.574;391;1.183;ES;3514952;2931472;583480;111.254;848.674,77;7,63
Pimenta;Espírito Santo;273;51;222;249;53;197;Toneladas;243;50;193;1.614;415;1.199;1.574;391;1.183;ES;3514952;2931472;583480;25.355.066;69.230.817,56;2,73
