Produto;Nome UF;qtd Estabelecimentos;qtd Estabelecimentos AGFNão;qtd Estabelecimentos AGFSim;qtd Produzida;qtd Produzida AGFNao;qtd Produzida AGFSim;Unidade de Medida;qtd Vendida;qtd Vendida AGFNao;qtd Vendida AGFSim;R$ Produção Total;R$ Produção AGFNao;R$ Produção AGFSim;R$ Venda Total;R$ Venda AGFNao;R$ Venda AGFSim;Sigla UF;População Total em 2010;População Urbana em 2010;População Rural em 2010;Quantidade(kg);Valor (R$);Preço Médio (R$)
Morango;Distrito Federal;328;55;273;4.424;731;3.693;Toneladas;4.383;724;3.659;25.587;4.607;20.980;25.334;4.527;20.808;DF;2570160;2482210;87950;41.307.301;82.538.556,02;2,00
Morango;Distrito Federal;328;55;273;4.424;731;3.693;Toneladas;4.383;724;3.659;25.587;4.607;20.980;25.334;4.527;20.808;DF;2570160;2482210;87950;9.765.516;125.345.081,90;12,84
Nabo;Distrito Federal;40;23;17;80;48;32;Toneladas;78;47;31;136;85;52;134;85;49;DF;2570160;2482210;87950;190.772;486.008,71;2,55
Orégano;Distrito Federal;15;7;8;3;2;1;Toneladas;2;2;1;22;15;7;19;14;5;DF;2570160;2482210;87950;X;X;X
Pepino;Distrito Federal;216;77;139;2.596;914;1.681;Toneladas;2.533;908;1.625;2.860;851;2.009;2.777;843;1.934;DF;2570160;2482210;87950;23.241.426;47.395.959,43;2,04
Pimenta;Distrito Federal;194;72;122;621;306;315;Toneladas;613;303;310;1.688;882;806;1.660;862;798;DF;2570160;2482210;87950;2.998.468;15.501.214,30;5,17
Pimenta;Distrito Federal;194;72;122;621;306;315;Toneladas;613;303;310;1.688;882;806;1.660;862;798;DF;2570160;2482210;87950;3.495.886;29.774.623,84;8,52
Quiabo;Distrito Federal;367;130;237;1.137;557;580;Toneladas;1.123;554;569;2.522;1.277;1.245;2.493;1.269;1.224;DF;2570160;2482210;87950;8.188.304;40.802.255,12;4,98
Rabanete;Distrito Federal;150;62;88;265;135;130;Toneladas;242;130;112;535;315;220;501;307;194;DF;2570160;2482210;87950;137.618;750.311,41;5,45
Repolho;Distrito Federal;271;88;183;7.285;3.803;3.482;Toneladas;6.966;3.592;3.375;4.536;2.064;2.472;4.292;1.886;2.406;DF;2570160;2482210;87950;36.151.034;70.877.008,18;1,96
Rúcula;Distrito Federal;335;130;205;789;493;296;Toneladas;748;467;281;3.260;2.330;930;3.164;2.275;889;DF;2570160;2482210;87950;774.638;7.229.609,73;9,33
Salsa;Distrito Federal;318;132;186;599;306;293;Toneladas;571;288;282;1.970;1.085;885;1.895;1.039;855;DF;2570160;2482210;87950;683.069;7.445.081,40;10,90
Salsa;Distrito Federal;318;132;186;599;306;293;Toneladas;571;288;282;1.970;1.085;885;1.895;1.039;855;DF;2570160;2482210;87950;535.931;3.373.514,37;6,29
Taioba;Distrito Federal;17;5;12;10;3;7;Toneladas;8;3;5;21;7;14;18;7;12;DF;2570160;2482210;87950;11.756;37.680,51;3,21
Abobrinha;Goiás;1.387;282;1.105;7.840;2.211;5.629;Toneladas;7.647;2.145;5.502;10.140;2.887;7.253;9.874;2.813;7.061;GO;6003788;5420714;583074;78.077.006;203.468.991,20;2,61
Acelga;Goiás;353;100;253;1.071;465;606;Toneladas;951;417;534;1.764;855;909;1.571;794;777;GO;6003788;5420714;583074;5.307.186;45.371.868,55;8,55
